,Date,Start (EST),Home Team,Home Win Prob,Visitor Win Prob,Visiting Team,Arena
872,"Wed, Feb 15, 2023",7:00p,Charlotte Hornets,62.62%,37.38%,San Antonio Spurs,Spectrum Center
873,"Wed, Feb 15, 2023",7:00p,Indiana Pacers,40.94%,59.06%,Chicago Bulls,Gainbridge Fieldhouse
874,"Wed, Feb 15, 2023",7:30p,Atlanta Hawks,42.03%,57.97%,New York Knicks,State Farm Arena
875,"Wed, Feb 15, 2023",7:30p,Boston Celtics,85.50%,14.50%,Detroit Pistons,TD Garden
876,"Wed, Feb 15, 2023",7:30p,Brooklyn Nets,55.05%,44.95%,Miami Heat,Barclays Center
877,"Wed, Feb 15, 2023",7:30p,Philadelphia 76ers,41.62%,58.38%,Cleveland Cavaliers,Wells Fargo Center
878,"Wed, Feb 15, 2023",8:00p,Memphis Grizzlies,61.64%,38.36%,Utah Jazz,FedEx Forum
879,"Wed, Feb 15, 2023",8:00p,Oklahoma City Thunder,77.91%,22.09%,Houston Rockets,Paycom Center
880,"Wed, Feb 15, 2023",9:00p,Denver Nuggets,60.97%,39.03%,Dallas Mavericks,Ball Arena
881,"Wed, Feb 15, 2023",10:00p,Los Angeles Lakers,38.23%,61.77%,New Orleans Pelicans,Crypto.com Arena
