,Team,Opponent,GF,GA,Date,xGD,Performance
1,Boston Celtics,Brooklyn Nets,139,96,"Wed, Feb 1, 2023",3.85,45.02
2,New Orleans Pelicans,Golden State Warriors,128,83,"Mon, Nov 21, 2022",1.46,44.65
3,Dallas Mavericks,Memphis Grizzlies,137,96,"Sat, Oct 22, 2022",-3.02,44.52
4,Memphis Grizzlies,Milwaukee Bucks,142,101,"Thu, Dec 15, 2022",1.40,43.11
5,Brooklyn Nets,Washington Wizards,128,86,"Fri, Nov 4, 2022",1.88,42.13
6,Oklahoma City Thunder,Boston Celtics,150,117,"Tue, Jan 3, 2023",-4.69,38.87
7,New York Knicks,Golden State Warriors,132,94,"Tue, Dec 20, 2022",1.97,37.65
8,Sacramento Kings,Memphis Grizzlies,133,100,"Mon, Jan 23, 2023",-0.90,36.52
9,Sacramento Kings,Brooklyn Nets,153,121,"Tue, Nov 15, 2022",0.60,34.02
10,Toronto Raptors,San Antonio Spurs,143,100,"Wed, Nov 2, 2022",10.16,33.67
11,Atlanta Hawks,Phoenix Suns,132,100,"Wed, Feb 1, 2023",-0.99,32.79
12,Cleveland Cavaliers,Chicago Bulls,128,96,"Sat, Oct 22, 2022",4.34,32.5
13,Dallas Mavericks,Denver Nuggets,127,99,"Fri, Nov 18, 2022",-3.46,31.96
14,Cleveland Cavaliers,Philadelphia 76ers,113,85,"Wed, Nov 30, 2022",1.52,31.33
15,Charlotte Hornets,Milwaukee Bucks,138,109,"Fri, Jan 6, 2023",-8.11,31.11
16,Memphis Grizzlies,Phoenix Suns,136,106,"Mon, Jan 16, 2023",2.73,30.79
17,Denver Nuggets,Los Angeles Clippers,122,91,"Thu, Jan 5, 2023",4.59,30.37
18,Toronto Raptors,Atlanta Hawks,139,109,"Mon, Oct 31, 2022",1.04,29.8
19,Denver Nuggets,Phoenix Suns,126,97,"Wed, Jan 11, 2023",3.17,29.79
20,Brooklyn Nets,Golden State Warriors,143,113,"Wed, Dec 21, 2022",2.36,29.65
21,Boston Celtics,Dallas Mavericks,124,95,"Thu, Jan 5, 2023",5.38,29.49
22,Chicago Bulls,Dallas Mavericks,144,115,"Sat, Dec 10, 2022",0.01,29.49
23,Boston Celtics,Charlotte Hornets,140,105,"Mon, Nov 28, 2022",11.87,29.0
24,Portland Trail Blazers,Denver Nuggets,135,110,"Mon, Oct 24, 2022",-3.65,28.96
25,Phoenix Suns,San Antonio Spurs,133,95,"Sun, Dec 4, 2022",10.12,28.67
26,Los Angeles Clippers,San Antonio Spurs,138,100,"Thu, Jan 26, 2023",8.70,28.67
27,Phoenix Suns,Golden State Warriors,134,105,"Tue, Oct 25, 2022",1.13,28.65
28,Brooklyn Nets,New York Knicks,112,85,"Wed, Nov 9, 2022",0.40,28.62
29,Boston Celtics,Phoenix Suns,125,98,"Wed, Dec 7, 2022",5.08,27.79
30,Golden State Warriors,San Antonio Spurs,132,95,"Mon, Nov 14, 2022",8.98,27.67
31,Milwaukee Bucks,Utah Jazz,123,97,"Sat, Dec 17, 2022",0.94,27.17
32,Miami Heat,New Orleans Pelicans,124,98,"Wed, Jan 18, 2023",-0.81,27.11
33,Philadelphia 76ers,Orlando Magic,133,103,"Sun, Nov 27, 2022",6.41,26.92
34,Brooklyn Nets,San Antonio Spurs,139,103,"Mon, Jan 2, 2023",11.35,26.67
35,Sacramento Kings,Los Angeles Clippers,123,96,"Sat, Dec 3, 2022",3.25,26.37
36,Cleveland Cavaliers,Miami Heat,113,87,"Sun, Nov 20, 2022",4.55,26.3
37,Milwaukee Bucks,New Orleans Pelicans,135,110,"Sun, Jan 29, 2023",1.00,26.11
