Opponent,Record,PCT,Win Probability,Lose by 21+,Lose by 16-20,Lose by 11-15,Lose by 6-10,Lose by 1-5,Win by 1-5,Win by 6-10,Win by 10-15,Win by 16-20,Win by 21+
Boston Celtics,37-15,0.712,31.72%,11.34%,8.96%,13.35%,16.59%,18.05%,13.83%,8.02%,4.65%,2.52%,2.69%
Denver Nuggets,36-16,0.692,37.68%,8.95%,7.42%,11.67%,15.65%,18.64%,15.59%,9.62%,5.79%,3.21%,3.47%
Milwaukee Bucks,35-17,0.673,43.80%,7.08%,6.09%,10.03%,14.36%,18.64%,17.04%,11.25%,7.07%,4.01%,4.43%
Philadelphia 76ers,33-17,0.660,39.72%,8.27%,6.95%,11.11%,15.24%,18.71%,16.12%,10.17%,6.20%,3.46%,3.77%
Memphis Grizzlies,32-20,0.615,39.11%,8.47%,7.09%,11.28%,15.37%,18.69%,15.96%,10.00%,6.08%,3.38%,3.68%
Brooklyn Nets,31-20,0.608,44.12%,7.00%,6.03%,9.95%,14.28%,18.62%,17.10%,11.34%,7.14%,4.06%,4.48%
Cleveland Cavaliers,32-22,0.593,34.84%,10.00%,8.11%,12.46%,16.14%,18.44%,14.80%,8.86%,5.24%,2.87%,3.08%
Sacramento Kings,29-21,0.580,42.10%,7.55%,6.44%,10.47%,14.74%,18.70%,16.68%,10.80%,6.70%,3.78%,4.14%
Dallas Mavericks,28-25,0.528,49.34%,5.75%,5.08%,8.64%,13.02%,18.16%,17.99%,12.69%,8.33%,4.86%,5.47%
New York Knicks,28-25,0.528,45.47%,6.65%,5.77%,9.60%,13.97%,18.54%,17.36%,11.69%,7.44%,4.26%,4.72%
Los Angeles Clippers,29-26,0.527,53.20%,4.97%,4.46%,7.74%,12.04%,17.60%,18.43%,13.65%,9.27%,5.53%,6.33%
Minnesota Timberwolves,28-26,0.519,51.82%,5.23%,4.67%,8.05%,12.40%,17.82%,18.30%,13.31%,8.92%,5.28%,6.01%
Utah Jazz,27-26,0.509,47.00%,6.28%,5.49%,9.21%,13.60%,18.41%,17.63%,12.09%,7.78%,4.49%,5.01%
Phoenix Suns,27-26,0.509,48.33%,5.97%,5.25%,8.89%,13.28%,18.28%,17.84%,12.43%,8.09%,4.70%,5.26%
Atlanta Hawks,26-26,0.500,51.74%,5.25%,4.69%,8.07%,12.42%,17.83%,18.29%,13.29%,8.90%,5.27%,5.99%
Golden State Warriors,26-26,0.500,52.23%,5.15%,4.61%,7.96%,12.29%,17.76%,18.34%,13.41%,9.02%,5.35%,6.10%
New Orleans Pelicans,26-27,0.491,47.20%,6.23%,5.45%,9.16%,13.55%,18.40%,17.67%,12.14%,7.83%,4.52%,5.04%
Portland Trail Blazers,25-26,0.490,49.98%,5.61%,4.97%,8.49%,12.86%,18.08%,18.08%,12.85%,8.48%,4.97%,5.60%
Washington Wizards,24-26,0.480,50.57%,5.49%,4.87%,8.35%,12.71%,18.00%,18.15%,13.00%,8.62%,5.07%,5.73%
Los Angeles Lakers,25-28,0.472,55.43%,4.56%,4.13%,7.24%,11.46%,17.19%,18.60%,14.18%,9.83%,5.94%,6.88%
Chicago Bulls,24-27,0.471,49.30%,5.76%,5.09%,8.65%,13.03%,18.17%,17.99%,12.68%,8.32%,4.85%,5.46%
Oklahoma City Thunder,24-27,0.471,46.98%,6.29%,5.49%,9.22%,13.61%,18.42%,17.63%,12.09%,7.78%,4.48%,5.00%
Indiana Pacers,24-29,0.453,57.00%,4.29%,3.90%,6.89%,11.04%,16.87%,18.67%,14.54%,10.23%,6.25%,7.30%
Toronto Raptors,23-30,0.434,48.17%,6.01%,5.28%,8.92%,13.31%,18.30%,17.82%,12.39%,8.05%,4.67%,5.23%
Orlando Magic,20-32,0.385,61.43%,3.60%,3.32%,5.97%,9.86%,15.83%,18.68%,15.47%,11.42%,7.21%,8.64%
Charlotte Hornets,15-38,0.283,70.42%,2.44%,2.30%,4.27%,7.45%,13.13%,17.67%,16.82%,13.95%,9.58%,12.39%
San Antonio Spurs,14-38,0.269,79.02%,1.55%,1.49%,2.84%,5.19%,9.91%,15.17%,16.84%,16.18%,12.53%,18.29%
Houston Rockets,13-38,0.255,73.51%,2.10%,1.99%,3.73%,6.63%,12.04%,16.97%,17.02%,14.81%,10.56%,14.16%
Detroit Pistons,13-39,0.250,72.34%,2.22%,2.11%,3.93%,6.94%,12.46%,17.26%,16.97%,14.49%,10.18%,13.45%
