,GameID,Game State,Home Team,Home Goals,Away Goals,Away Team,Pre-Game Home Win Probability,Pre-Game Away Win Probability,Home Record,Away Record
1,2022020838,END 1st,Boston Bruins,0,1,Washington Capitals,70.52%,29.48%,39-7-5,27-20-6
2,2022020839,Pre-Game,Florida Panthers,0,0,Colorado Avalanche,48.63%,51.37%,26-22-6,27-19-4
3,2022020840,Pre-Game,Toronto Maple Leafs,0,0,Columbus Blue Jackets,79.40%,20.60%,32-13-8,15-33-4
4,2022020841,Pre-Game,Carolina Hurricanes,0,0,New York Rangers,52.48%,47.52%,34-9-8,30-14-8
5,2022020842,Pre-Game,St. Louis Blues,0,0,Arizona Coyotes,55.24%,44.76%,23-25-3,17-28-7
6,2022020843,Pre-Game,Minnesota Wild,0,0,New Jersey Devils,36.25%,63.75%,27-20-4,34-13-4
7,2022020844,Pre-Game,Winnipeg Jets,0,0,Chicago Blackhawks,75.03%,24.97%,32-19-1,16-29-5
8,2022020845,Pre-Game,Los Angeles Kings,0,0,Pittsburgh Penguins,42.48%,57.52%,28-18-7,26-16-9
9,2022020832,Final,Detroit Red Wings,5,2,Vancouver Canucks,54.02%,45.98%,23-20-8,21-28-4
10,2022020833,Final,Buffalo Sabres,2,7,Calgary Flames,51.02%,48.98%,26-21-4,25-18-10
11,2022020834,Final,Ottawa Senators,3,6,Edmonton Oilers,38.77%,61.23%,24-24-3,30-18-5
12,2022020835,Final,Montréal Canadiens,4,3,New York Islanders,31.53%,68.47%,21-27-4,27-23-6
13,2022020836,Final,Philadelphia Flyers,1,2,Nashville Predators,47.43%,52.57%,22-22-10,25-19-6
14,2022020837,Final,Dallas Stars,1,3,Tampa Bay Lightning,51.83%,48.17%,30-14-10,34-16-2
