,Team,Rating,Consistency (z-Score)
1,New Jersey Devils,0.83,1.69
2,Nashville Predators,-0.13,1.68
3,Boston Bruins,1.53,1.33
4,Calgary Flames,0.09,1.26
5,Vegas Golden Knights,0.18,1.25
6,Tampa Bay Lightning,0.68,1.21
7,Los Angeles Kings,-0.16,0.98
8,Carolina Hurricanes,0.69,0.95
9,Pittsburgh Penguins,0.24,0.86
10,Minnesota Wild,0.19,0.84
11,Vancouver Canucks,-0.53,0.40
12,New York Islanders,0.09,0.38
13,Colorado Avalanche,0.37,0.12
14,Dallas Stars,0.76,0.06
15,Philadelphia Flyers,-0.36,0.05
16,Columbus Blue Jackets,-1.27,-0.05
17,Toronto Maple Leafs,0.74,-0.07
18,Florida Panthers,0.01,-0.13
19,Chicago Blackhawks,-1.17,-0.17
20,New York Rangers,0.54,-0.27
21,St. Louis Blues,-0.54,-0.32
22,San Jose Sharks,-0.82,-0.43
23,Montréal Canadiens,-1.06,-0.63
24,Seattle Kraken,0.51,-0.80
25,Detroit Red Wings,-0.35,-0.84
26,Edmonton Oilers,0.44,-0.96
27,Arizona Coyotes,-0.89,-0.97
28,Buffalo Sabres,0.37,-1.06
29,Ottawa Senators,-0.15,-1.55
30,Anaheim Ducks,-1.54,-1.57
31,Washington Capitals,0.29,-1.61
32,Winnipeg Jets,0.47,-1.65
