,Home Team,Home Goals,Away Goals,Away Team,Date,xGD,GD,Upset Rating
1,Colorado Avalanche,7,0,Ottawa Senators,2023-01-14,0.52,7,6.48
2,New York Rangers,1,5,Columbus Blue Jackets,2022-10-23,1.80,-4,5.80
3,Washington Capitals,9,2,Montréal Canadiens,2022-12-31,1.35,7,5.65
4,Carolina Hurricanes,0,4,Arizona Coyotes,2022-11-23,1.57,-4,5.57
5,Buffalo Sabres,6,0,Los Angeles Kings,2022-12-13,0.54,6,5.46
6,Arizona Coyotes,5,0,St. Louis Blues,2023-01-26,-0.34,5,5.34
7,Minnesota Wild,6,1,Winnipeg Jets,2022-11-23,-0.28,5,5.28
8,Calgary Flames,1,5,Chicago Blackhawks,2023-01-26,1.25,-4,5.25
9,Detroit Red Wings,2,8,New York Rangers,2022-11-10,-0.89,-6,5.11
10,Seattle Kraken,2,7,Edmonton Oilers,2022-12-30,0.08,-5,5.08
11,Winnipeg Jets,5,0,Colorado Avalanche,2022-11-29,0.10,5,4.90
12,Toronto Maple Leafs,2,6,Ottawa Senators,2023-01-27,0.89,-4,4.89
13,Winnipeg Jets,0,4,Philadelphia Flyers,2023-01-28,0.83,-4,4.83
14,Vancouver Canucks,5,1,Pittsburgh Penguins,2022-10-28,-0.77,4,4.77
15,Carolina Hurricanes,7,2,Edmonton Oilers,2022-11-10,0.25,5,4.75
16,San Jose Sharks,1,7,Edmonton Oilers,2023-01-13,-1.26,-6,4.74
17,Winnipeg Jets,1,4,Columbus Blue Jackets,2022-12-02,1.74,-3,4.74
18,Buffalo Sabres,0,4,Philadelphia Flyers,2023-01-09,0.73,-4,4.73
19,Vegas Golden Knights,1,5,Vancouver Canucks,2022-11-26,0.71,-4,4.71
20,Toronto Maple Leafs,7,0,Anaheim Ducks,2022-12-13,2.29,7,4.71
21,New York Rangers,2,5,Chicago Blackhawks,2022-12-03,1.70,-3,4.70
22,San Jose Sharks,5,1,Ottawa Senators,2022-11-21,-0.68,4,4.68
23,Edmonton Oilers,8,2,Arizona Coyotes,2022-12-07,1.33,6,4.67
24,Arizona Coyotes,6,3,Toronto Maple Leafs,2022-12-29,-1.63,3,4.63
25,Pittsburgh Penguins,6,1,Los Angeles Kings,2022-10-20,0.40,5,4.60
26,Carolina Hurricanes,2,6,New York Islanders,2022-10-28,0.59,-4,4.59
27,Montréal Canadiens,4,1,Winnipeg Jets,2023-01-17,-1.53,3,4.53
28,Florida Panthers,5,2,Boston Bruins,2022-11-23,-1.52,3,4.52
29,Seattle Kraken,1,5,Florida Panthers,2022-12-03,0.51,-4,4.51
30,Minnesota Wild,5,1,Tampa Bay Lightning,2023-01-04,-0.49,4,4.49
31,Pittsburgh Penguins,6,2,Tampa Bay Lightning,2022-10-15,-0.44,4,4.44
32,Washington Capitals,5,1,Tampa Bay Lightning,2022-11-11,-0.39,4,4.39
33,New York Islanders,7,1,Anaheim Ducks,2022-10-15,1.64,6,4.36
34,Vegas Golden Knights,1,5,Los Angeles Kings,2023-01-07,0.34,-4,4.34
35,Chicago Blackhawks,1,7,New York Rangers,2022-12-18,-1.70,-6,4.30
36,Anaheim Ducks,2,0,Dallas Stars,2023-01-04,-2.30,2,4.30
